,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
10008,30,3360,66931.2,617,2886.92,110.44
5550,120,7000,425740.0,1714,4881.42,437.66
7728,60,11837,153407.52,1319,15459.09,215.08
5665,30,1000,18000.0,133,1604.56,18.5
9117,30,56228,204669.92,6242,17129.96,286.95
4525,20,43,1376.0,15,406.68,1.93
2277,60,4234,10330.96,212,1489.4,20.25
2691,30,54768,133633.92,3237,10923.46,220.5
1703,30,45000,540450.0,3457,1934.31,864.72
3839,60,38515,313126.95,4892,41173.77,387.34
8798,30,225000,2425500.0,37973,15873.95,3000.34
3057,100,3144,279816.0,1276,15681.99,287.65
8619,60,30480,237134.4,698,26845.35,332.46
4911,30,100000,735000.0,9389,51294.87,1030.47
7050,30,4700,27166.0,680,3335.33,53.25
6364,120,1049,86227.8,264,5487.53,142.28
6715,60,8100,18873.0,387,3296.34,31.14
4752,60,7000,56700.0,974,1069.31,58.29
6754,120,1313,44300.62,276,3940.18,62.11
2658,60,1268,14455.2,143,7445.8,28.33
5870,60,774,42957.0,92,1114.0,53.14
9302,60,14648,80564.0,1023,2244.2,82.82
1178,60,3672,34333.2,3427,3874.22,54.93
9092,240,608,7600.0,223,2641.45,10.66
3335,120,3010,247422.0,756,9193.82,408.25
5632,3,10,250.0,6,402.42,0.49
7043,60,50,350.0,35,1567.51,0.69
3315,1000,1070,25680.0,902,5914.0,26.4
1331,180,1428,71400.0,2955,4551.52,114.24
2509,30,2034,33561.0,768,4465.1,53.7
4299,60,2335,18773.4,237,1488.99,22.1
6798,100,490,2303.0,4359,12101.96,3.23
5890,30,65000,420550.0,4364,10758.45,693.91
5504,30,2850,78660.0,318,4604.83,97.3
4942,20,165,5280.0,138,794.72,7.4
7912,30,81589,783254.4,21668,23559.93,921.89
652,25,7,525.0,5,87.73,1.03
3926,100,5938,528482.0,1022,15120.61,740.93
3660,60,4065,10569.0,497,6269.65,22.79
9537,60,4398,30873.96,224,1933.3,50.94
9152,240,36229,70646.55,13310,12203.29,87.39
3711,30,13000,136500.0,3575,17969.34,140.32
4085,100,118,542.8,16,693.16,0.67
3045,100,11310,14703.0,2454,10898.12,18.19
6326,300,1364,42038.48,1309,15578.89,58.94
4211,100,5000,400000.0,2268,37942.89,494.8
9728,60,18000,121140.0,1643,12995.06,124.53
3940,30,76733,855572.95,9268,77756.12,1058.34
857,300,50,2055.0,99,2704.58,4.03
6673,60,117367,1316857.74,17496,104604.06,2839.15
4147,100,3,240.0,1411,13150.21,0.52
1574,30,867,8427.24,76,1954.23,16.52
4621,60,703,4921.0,162,2365.05,6.09
2786,30,71376,231258.24,5864,7558.01,286.07
1057,60,1200,9780.0,70,1949.84,15.65
9282,60,2469,27726.87,230,1163.2,34.3
4393,20,8000,256000.0,2328,14581.51,301.31
7317,60,3200,7232.0,1230,8281.7,8.95
647,100,800,56000.0,182,3272.6,109.76
3201,1,4032,98784.0,2688,35437.38,101.55
1596,60,374,912.56,18,1799.88,1.79
7947,60,5500,13420.0,836,9341.49,26.3
3190,60,150,322.5,25,1765.03,0.33
8333,60,27137,110990.33,1169,28812.58,137.3
2423,30,14000,154000.0,1169,13538.35,301.84
7818,60,4200,16338.0,180,1965.57,20.21
