,Pack Price
10008,19.92
5550,60.82
7728,12.96
5665,18.0
9117,3.64
4525,32.0
2277,2.44
2691,2.44
1703,12.01
3839,8.13
8798,10.78
3057,89.0
8619,7.78
4911,7.35
7050,5.78
6364,82.2
6715,2.33
4752,8.1
6754,33.74
2658,11.4
5870,55.5
9302,5.5
1178,9.35
9092,12.5
3335,82.2
5632,25.0
7043,7.0
3315,24.0
1331,50.0
2509,16.5
4299,8.04
6798,4.7
5890,6.47
5504,27.6
4942,32.0
7912,9.6
652,75.0
3926,89.0
3660,2.6
9537,7.02
9152,1.95
3711,10.5
4085,4.6
3045,1.3
6326,30.82
4211,80.0
9728,6.73
3940,11.15
857,41.1
6673,11.22
4147,80.0
1574,9.72
4621,7.0
2786,3.24
1057,8.15
9282,11.23
4393,32.0
7317,2.26
647,70.0
3201,24.5
1596,2.44
7947,2.44
3190,2.15
8333,4.09
2423,11.0
7818,3.89
6678,3.28
6267,32.0
1647,38.36
2869,3.95
3905,89.0
1228,3.27
10198,13.52
9484,1.95
2909,2.6
6381,70.0
2339,3.4
7089,4.75
1653,41.1
2747,6.61
83,19.51
331,71.99
7799,1.95
6428,100.0
6211,32.0
5568,50.0
8162,80.0
9511,7.02
5479,23.26
7716,15.04
7902,9.76
4914,89.0
10048,1.95
5721,7.0
3952,6.65
4480,82.2
2353,2.15
2789,97.68
149,1.92
3667,23.4
7180,2.51
4538,70.0
6424,2.43
2936,400.0
8835,8.38
2445,8.76
6383,1.45
4212,7.3
7158,19.92
7322,7.0
8339,4.09
1289,2.15
6947,4.7
7750,12.11
2899,1.51
3206,4.62
6946,3.95
5301,30.82
1099,308.17
422,82.19
5789,30.82
7455,7.72
10101,13.27
3294,10.5
1879,3.47
1067,80.0
1151,9.35
2978,8.2
4251,1.25
6747,2.24
3018,8.0
7202,11.22
6362,77.7
6118,89.0
3733,14.49
5879,20.0
1708,15.5
7923,3.6
9684,13.52
6240,80.0
4597,8.0
3391,90.0
2309,2.0
3666,6.85
6731,2.58
2431,11.4
5929,89.0
6337,30.82
5856,89.0
5257,7.43
9017,12.5
2043,7.12
8078,2.58
471,23.0
4783,36.16
8287,2.15
4075,1.25
6391,7.3
6591,7.53
7634,1.95
10260,6.6
1479,44.5
3694,3.15
5838,11.0
3720,5.99
7360,8.58
3070,5.74
9787,2.21
6898,11.15
6060,80.0
1896,41.1
4846,80.0
10027,6.42
9388,2.73
5815,8.13
981,70.0
1696,3.04
5302,2.25
7606,33.74
1406,3.8
9811,6.52
5077,80.0
5967,89.0
3539,80.0
10094,15.04
4545,32.0
7566,2.66
6302,89.0
547,23.5
5656,30.82
7866,8.26
5199,89.0
3060,5.0
1313,1.75
3677,72.0
5356,24.0
1537,7.2
7568,2.33
5052,4.67
1958,7.75
5768,6.49
1173,11.72
206,0.01
10187,4.7
1968,71.99
6125,80.0
3196,11.99
7003,11.09
9500,2.33
4078,19.5
10073,8.04
1065,10.68
703,7.0
8349,6.73
2373,9.45
6983,3.62
3950,80.0
8379,6.52
5105,80.0
7895,3.21
1163,7.2
2246,8.76
8367,1.51
6680,9.71
6716,1.95
7304,13.69
6791,7.72
9860,2.44
7110,4.45
236,5.0
4513,8.0
5206,27.6
5312,27.6
3966,3.25
2000,25.45
2839,2.25
6977,1.99
9769,13.52
1167,3.2
8448,11.22
7056,14.64
1876,35.8
2241,1.49
6726,8.23
5609,80.0
4546,4.0
4766,2.0
1153,26.25
4664,91.5
7120,3.28
3941,7.82
7005,3.12
2626,26.25
4366,80.0
10305,7.72
1787,3.2
3602,54.0
6430,8.13
3080,77.7
6907,11.15
7852,3.75
2270,11.75
3309,4.53
4898,20.0
444,32.0
1192,7.71
2398,0.0
5396,3.19
8063,2.33
4008,89.0
2040,9.72
1882,7.4
4039,20.0
4014,32.0
6243,80.0
1010,75.0
594,15.08
6581,2.9
1561,9.35
9080,1.85
3770,5.94
3281,31.0
2588,3.4
7255,3.91
1291,7.4
961,23.0
7250,5.54
554,71.99
4801,1.9
6903,19.52
9207,2.23
7786,21.0
4932,32.0
3135,80.0
6529,8.1
7827,5.87
8007,2.66
567,0.01
2111,16.5
5554,89.0
10162,21.78
6831,8.97
6127,50.0
1895,17.0
5938,2.25
10092,13.27
7332,4.7
6796,5.36
6657,11.22
329,1.51
1277,1.97
4599,0.0
1108,3.4
1405,7.71
6474,90.0
6111,77.7
6841,1.95
2957,8.17
6671,22.5
45,71.99
4692,3.0
3362,31.0
5842,16.96
7567,36.16
3545,92.0
4665,2.47
9165,8.58
2382,8.15
1116,27.53
7441,9.76
190,7.0
3929,4.67
8374,2.18
1077,13.5
9846,1.92
3691,89.0
4173,2.39
8275,8.58
7193,14.63
30,27.0
6859,6.76
7212,11.22
9275,6.52
2032,50.0
73,71.99
8540,19.92
8819,2.21
5475,89.0
617,32.0
10151,1.95
7534,11.22
5397,16.96
3886,89.0
1089,32.0
5053,206.51
9010,3.3
8198,12.11
1772,26.25
1176,11.4
10102,9.81
5868,6.15
215,27.0
401,6.5
793,20.0
2797,30.82
3765,11.49
5359,6.85
2940,30.82
1236,7.5
3852,6.75
6456,4.0
6515,20.0
1310,2.0
3471,4.62
7877,3.21
1332,9.5
2463,7.71
6931,11.23
9756,18.9
1358,41.1
5252,2.3
2127,3.4
5993,8.0
9535,11.22
1148,3.2
4984,80.0
5382,8.5
3042,82.2
885,350.0
3881,16.96
3278,4.3
7277,13.27
2652,50.0
8499,10.07
2847,80.0
2403,1.4
3762,1.43
2901,17.5
6856,12.11
8052,6.57
8114,1.95
5057,32.0
7362,11.15
6212,5.94
673,8.94
6238,30.82
2138,27.53
8826,8.11
7224,5.54
3607,80.0
2475,6.22
3439,350.0
5791,7.03
1296,19.5
5581,89.0
5195,2.12
1699,7.4
10207,3.89
3414,20.0
2890,36.04
10316,6.52
8315,8.38
2171,12.42
513,35.21
7527,2.73
597,27.0
3293,4.51
2788,30.82
5422,32.0
9082,2.33
5049,15.74
8391,4.62
2453,10.0
8113,2.58
6064,4.51
7781,7.0
7459,7.72
4917,1.45
4603,3.15
6771,29.68
9921,11.22
8559,33.74
8783,20.07
6782,2.33
4567,29.0
6207,32.0
2739,6.49
2406,12.01
581,82.2
3724,6.85
9360,23.0
7337,4.04
6173,72.0
6208,3.3
1020,32.0
4400,19.33
7922,9.6
3500,20.0
1267,16.5
2468,11.0
3920,2.49
2402,2.1
330,1.51
5228,66.6
