,Unit Price
10008,0.66
5550,0.51
7728,0.22
5665,0.6
9117,0.12
4525,1.6
2277,0.04
2691,0.08
1703,0.4
3839,0.14
8798,0.36
3057,0.89
8619,0.13
4911,0.24
7050,0.19
6364,0.68
6715,0.04
4752,0.13
6754,0.28
2658,0.19
5870,0.92
9302,0.09
1178,0.16
9092,0.05
3335,0.68
5632,8.33
7043,0.12
3315,0.02
1331,0.28
2509,0.55
4299,0.13
6798,0.05
5890,0.22
5504,0.92
4942,1.6
7912,0.32
652,3.0
3926,0.89
3660,0.04
9537,0.12
9152,0.01
3711,0.35
4085,0.05
3045,0.01
6326,0.1
4211,0.8
9728,0.11
3940,0.37
857,0.14
6673,0.19
4147,0.8
1574,0.32
4621,0.12
2786,0.11
1057,0.14
9282,0.19
4393,1.6
7317,0.04
647,0.7
3201,24.5
1596,0.04
7947,0.04
3190,0.04
8333,0.07
2423,0.37
7818,0.06
6678,0.05
6267,1.6
1647,0.11
2869,0.07
3905,0.89
1228,0.05
10198,0.45
9484,0.01
2909,0.04
6381,0.7
2339,0.06
7089,0.16
1653,0.14
2747,0.11
83,0.2
331,0.72
7799,0.01
6428,1.0
6211,1.6
5568,0.28
8162,0.8
9511,0.12
5479,0.78
7716,0.5
7902,0.33
4914,0.89
10048,0.01
5721,0.12
3952,0.22
4480,0.68
2353,0.01
2789,0.98
149,0.01
3667,0.78
7180,0.04
4538,0.7
6424,0.04
2936,4.0
8835,0.03
2445,0.15
6383,0.02
4212,0.12
7158,0.66
7322,0.12
8339,0.07
1289,0.01
6947,0.16
7750,0.4
2899,0.01
3206,0.15
6946,0.07
5301,0.1
1099,17.12
422,0.68
5789,0.1
7455,0.13
10101,0.44
3294,0.35
1879,0.12
1067,0.8
1151,0.16
2978,0.14
4251,0.04
6747,0.07
3018,0.08
7202,0.19
6362,0.78
6118,0.89
3733,0.24
5879,0.8
1708,0.26
7923,0.06
9684,0.45
6240,0.8
4597,0.08
3391,0.9
2309,0.07
3666,0.11
6731,0.04
2431,0.19
5929,0.89
6337,0.1
5856,0.89
5257,0.12
9017,0.05
2043,0.12
8078,0.04
471,23.0
4783,0.3
8287,0.04
4075,0.04
6391,0.12
6591,0.13
7634,0.01
10260,0.11
1479,0.74
3694,0.01
5838,0.37
3720,0.2
7360,0.14
3070,0.19
9787,0.04
6898,0.37
6060,0.8
1896,0.34
4846,0.8
10027,0.21
9388,0.05
5815,0.14
